#Parameters = {h=2; k=4.5; l0=15.9; l1=8.09; l2=8.59; l3=11; ld=25.9075; w0=5.05; w1=3.28; w2=0.083; w3=2.835; Mesh Pass=2}
#"Frequency / GHz"	"S2,1 (Mesh Pass=2) [Magnitude / dB]"
#-------------------------------------------------------
2.0000000000000	-0.70775646433745
2.0016000270844	-0.70586672979294
2.0032000541687	-0.70398578999732
2.0048000812531	-0.70211366960467
2.0064001083374	-0.70024784780791
2.0079998970032	-0.69839068283037
2.0095999240875	-0.69654162263829
2.0111999511719	-0.69470008311218
2.0127999782562	-0.69286507206588
2.0144000053406	-0.69103809275947
2.0160000324249	-0.68921677008694
2.0176000595093	-0.68740423586820
2.0192000865936	-0.68559646099698
2.0208001136780	-0.68379690659255
2.0223999023438	-0.68200460521789
2.0239999294281	-0.68021741265287
2.0255999565125	-0.67843688241685
2.0271999835968	-0.67666185357300
2.0288000106812	-0.67489423742561
2.0304000377655	-0.67313149103682
2.0320000648499	-0.67137442792107
2.0336000919342	-0.66962308680119
2.0352001190186	-0.66787736241672
2.0367999076843	-0.66613637866231
2.0383999347687	-0.66440045294516
2.0399999618530	-0.66267074586940
2.0415999889374	-0.66094440431604
2.0432000160217	-0.65922332080112
2.0448000431061	-0.65750655944823
2.0464000701904	-0.65579413585818
2.0480000972748	-0.65408655698318
2.0495998859406	-0.65238196551815
2.0511999130249	-0.65068151158767
2.0527999401093	-0.64898561855824
2.0543999671936	-0.64729260881079
2.0559999942780	-0.64560348853514
2.0576000213623	-0.64391650704458
2.0592000484467	-0.64223382756729
2.0608000755310	-0.64055390568038
2.0624001026154	-0.63887693232227
2.0639998912811	-0.63720257816884
2.0655999183655	-0.63553009164457
2.0671999454498	-0.63386054449009
2.0687999725342	-0.63219241914241
2.0703999996185	-0.63052759844574
2.0720000267029	-0.62886399939325
2.0736000537872	-0.62720221963385
2.0752000808716	-0.62554209268354
2.0768001079559	-0.62388256021786
2.0783998966217	-0.62222620732934
2.0799999237061	-0.62056992531275
2.0815999507904	-0.61891402805068
2.0831999778748	-0.61726034330486
2.0848000049591	-0.61560594564607
2.0864000320435	-0.61395319788334
2.0880000591278	-0.61230024647071
2.0896000862122	-0.61064766631728
2.0912001132965	-0.60899604933046
2.0927999019623	-0.60734367266759
2.0943999290466	-0.60569073745193
2.0959999561310	-0.60403858106465
2.0975999832153	-0.60238566405674
2.0992000102997	-0.60073201681852
2.1008000373840	-0.59907744172723
2.1024000644684	-0.59742304013185
2.1040000915527	-0.59576596199449
2.1056001186371	-0.59410918579414
2.1071999073029	-0.59245077209432
2.1087999343872	-0.59079144083936
2.1103999614716	-0.58913076393845
2.1119999885559	-0.58746764946909
2.1136000156403	-0.58580335540714
2.1152000427246	-0.58413650290736
2.1168000698090	-0.58246962851862
2.1184000968933	-0.58079959773536
2.1199998855591	-0.57912715136890
2.1215999126434	-0.57745268727793
2.1231999397278	-0.57577577158402
2.1247999668121	-0.57409738348480
2.1263999938965	-0.57241603733756
2.1280000209808	-0.57073090700410
2.1296000480652	-0.56904309330084
2.1312000751495	-0.56735374066537
2.1328001022339	-0.56566003822986
